"id","mimnumber","pid"
"1","242900","1"
"2","242900","2"
"3","242900","3"
"4","242900","4"
"5","242900","5"
"6","242900","6"
"7","242900","7"
"8","242900","8"
"9","242900","9"
"10","242900","10"
"11","242900","11"
"12","242900","12"
"13","242900","13"
"14","242900","14"
"15","242900","15"
"16","242900","16"
"17","242900","17"
"18","242900","18"
"19","242900","19"
"20","242900","20"
"21","242900","21"
"22","242900","22"
"23","242900","23"
"24","242900","24"
"25","242900","25"
"26","242900","26"
"27","242900","27"
"28","242900","28"
"29","242900","29"
"30","242900","30"
"31","242900","31"
"32","242900","32"
"33","242900","33"
"34","242900","34"
"35","242900","35"
"36","242900","36"
"37","242900","37"
"38","242900","38"
"39","242900","39"
"40","242900","40"
"41","242900","41"
"42","242900","42"
"43","242900","43"
"44","242900","44"
"45","242900","45"
"46","242900","46"
"47","242900","47"
"48","242900","48"
"49","242900","49"
"50","242900","50"
"51","242900","51"
"52","242900","52"
"53","242900","53"
"54","242900","54"
"55","242900","55"
"56","242900","56"
"57","243000","57"
"58","243000","58"
"59","243000","59"
"60","243000","60"
"61","243000","61"
"62","243000","62"
"63","243000","63"
"64","243000","64"
"65","243000","65"
"66","243000","66"
"67","243000","67"
"68","243000","68"
"69","243000","69"
"70","243000","70"
"71","243000","71"
"72","243000","72"
"73","243000","73"
"74","243000","74"
"75","243000","75"
"76","243000","76"
"77","243000","77"
"78","243000","78"
"79","243000","79"
"80","243000","80"
"81","243000","81"
"82","243000","82"
"83","243000","83"
"84","243000","84"
"85","243000","85"
"86","243060","86"
"87","243060","87"
"88","243060","88"
"89","243060","89"
"90","243150","90"
"91","243150","91"
"92","243150","92"
"93","243150","93"
"94","243150","94"
"95","243150","95"
"96","243150","96"
"97","243150","97"
"98","243150","98"
"99","243150","99"
"100","243150","100"
"101","243150","101"
"102","243150","102"
"103","243150","103"
"104","243150","104"
"105","243150","105"
"106","243150","106"
"107","243150","107"
"108","243150","108"
"109","243150","109"
"110","243150","110"
"111","243150","111"
"112","243150","112"
"113","243150","113"
"114","243150","114"
"115","243150","115"
"116","243150","116"
"117","243150","117"
"118","243150","118"
"119","243150","119"
"120","243150","120"
"121","243150","121"
"122","243150","122"
"123","243150","123"
"124","243300","124"
"125","243300","125"
"126","243300","126"
"127","243300","127"
"128","243300","128"
"129","243300","129"
"130","243300","130"
"131","243300","131"
"132","243300","132"
"133","243300","133"
"134","243300","134"
"135","243300","135"
"136","243300","136"
"137","243300","137"
"138","243300","138"
"139","243310","139"
"140","243310","140"
"141","243310","141"
"142","243310","142"
"143","243310","143"
"144","243310","144"
"145","243310","145"
"146","243310","146"
"147","243310","147"
"148","243310","148"
"149","243310","149"
"150","243310","150"
"151","243310","151"
"152","243310","152"
"153","243310","153"
"154","243310","154"
"155","243310","155"
"156","243310","156"
"157","243310","157"
"158","243310","158"
"159","243310","159"
"160","243310","160"
"161","243310","161"
"162","243310","162"
"163","243310","163"
"164","243310","164"
"165","243310","165"
"166","243310","166"
"167","243310","167"
"168","243310","168"
"169","243310","169"
"170","243310","170"
"171","243310","12"
"172","243310","171"
"173","243310","172"
"174","243310","173"
"175","243310","174"
"176","243310","175"
"177","243310","176"
"178","243310","177"
"179","243310","178"
"180","243310","179"
"181","243310","180"
"182","243310","181"
"183","243310","182"
"184","243310","183"
"185","243310","184"
"186","243310","185"
"187","243310","186"
"188","243310","187"
"189","243310","188"
"190","243310","189"
"191","243310","190"
"192","243310","191"
"193","243500","192"
"194","243500","193"
"195","243500","181"
"196","243500","194"
"197","243500","184"
"198","243500","195"
"199","243500","196"
"200","243500","197"
"201","243500","198"
"202","243500","199"
"203","243500","46"
"204","243500","200"
"205","243500","201"
"206","243500","202"
"207","243500","203"
"208","243500","204"
"209","243500","205"
"210","243500","206"
"211","243500","207"
"212","243500","208"
"213","243605","145"
"214","243605","209"
"215","243605","150"
"216","243605","210"
"217","243605","211"
"218","243605","212"
"219","243605","213"
"220","243605","214"
"221","243605","215"
"222","243605","216"
"223","243605","217"
"224","243605","218"
"225","243605","155"
"226","243605","219"
"227","243605","162"
"228","243605","220"
"229","243605","221"
"230","243605","222"
"231","243605","223"
"232","243605","224"
"233","243605","225"
"234","243605","226"
"235","243605","227"
"236","243605","228"
"237","243605","229"
"238","243605","230"
"239","243605","231"
"240","243605","232"
"241","243605","233"
"242","243605","234"
"243","243605","235"
"244","243605","236"
"245","243605","237"
"246","243605","238"
"247","243605","239"
"248","243605","240"
"249","243605","241"
"250","243605","242"
"251","243700","243"
"252","243700","244"
"253","243700","245"
"254","243700","246"
"255","243700","247"
"256","243700","248"
"257","243700","249"
"258","243700","250"
"259","243700","251"
"260","243700","252"
"261","243700","253"
"262","243700","254"
"263","243700","255"
"264","243700","256"
"265","243700","257"
"266","243700","258"
"267","243700","259"
"268","243700","260"
"269","243700","261"
"270","243700","262"
"271","243700","263"
"272","243700","264"
"273","243700","265"
"274","243700","266"
"275","243700","267"
"276","243700","268"
"277","243800","139"
"278","243800","269"
"279","243800","270"
"280","243800","145"
"281","243800","271"
"282","243800","272"
"283","243800","273"
"284","243800","274"
"285","243800","275"
"286","243800","276"
"287","243800","277"
"288","243800","278"
