"gid","name","sequence"
"204","NEU1","608272.0001"
"205","PLA2G6","603604.0001"
"206","KIF1B","605995.0002"
"207","MYO5A","160777"
"208","PPT1","600722.0001"
"209","CLN5","608102.0001"
"210","NTRK1","191315.0001"
"211","MPV17","136960.0001"
"212","CCT5","610150.0001"
"213","GAN","605379.0001"
"214","SMPD1","607608.0001"
"215","NPC1","607623.0001"
"216","BUB1B","602860.0003"
"217","GJA1","121014.0016"
"218","MASP1","600521.0001"
"219","WNT10A","606268.0001"
"220","SAG","181031.0001"
"221","GPC6","604404.0001"
"222","POLG","174763.0002"
"223","INPPL1","600829.0001"
"224","OPA3","606580.0001"
"225","TCTN3","613847.0001"
"226","OAT","258870.0001"
"227","UMPS","613891.0001"
"228","ZBTB20","606025.0001"
"229","HPGD","601688.0001"
"230","COL1A1","120150.0005"
"231","COL1A2","120160.0005"
"232","PPIB","123841.0001"
"233","FKBP10","607093.0002"
"234","MMP2","120360.0001"
"235","TCIRG1","604592.0001"
"236","LRP5","603506.0001"
"237","FAM20C","611061.0001"
"238","AGXT","604285.0001"
"239","GRHPR","604296.0001"
"240","OPLAH","614243.0001"
"241","FBXO7","605648.0001"
"242","KRAS","190070.0005"
"243","TP53","191170.0027"
"244","MADH4","600993.0001"
"245","STK11","602216.0015"
"246","PDX1","600733.0001"
"247","SBDS","607444.0001"
"248","TP53","191170.0036"
"249","CCDC88A","609736.0001"
"250","AIMP1","603605.0001"
"251","TBX15","604127.0001"
"252","DCXR","608347.0001"
"253","MVK","251170.0002"
"254","GIF","609342.0001"
"255","CUBN","602997.0001"
"256","AMN","605799.0001"
"257","EPX","131399.0001"
"258","HSD17B4","601860.0001"
"259","B3GALTL","610308.0001"
"260","PAH","261600.0001"
"261","QDPR","612676.0001"
"262","PTS","612719.0001"
"263","PGAM2","612931.0001"
"264","PRKAG2","602743.0007"
"265","PHKB","172490.0001"
"266","BCS1L","603647.0008"
"267","INSR","147670.0012"
"268","CNGB3","605080.0001"
"269","PROP1","601538.0001"
"270","LHX4","602146.0001"
"271","PKHD1 ","606702.0001"
"272","ALG9","606941.0003"
"273","JAK2","147796"
"274","VHL","608537.0014"
"275","NEK1","604588.0001"
"276","NEK1","604588.0003"
"277","DYN2CH1","603297.0016"
"278","GBE1","607839.0002"
"279","RIPK4","605706.0001"
"280","UROS","606938.0001"
"281","DHODH","126064.0001"
"282","SLC12A3","600968.0001"
"283","PCBD1","126090.0001"
"284","SCNN1A","600228.0001"
"285","SCNN1B","600760.0003"
"286","SCNN1G","600761.0002"
"287","ACOX1","609751.0001"
"288","SRD5A2","607306.0001"
"289","CYP27B1","609506.0001"
"290","ABCC6","603234.0001"
"291","CHRNG","100730.0001"
"292","COLEC11 ","612502.0001"
"293","SLC34A2","604217.0001"
"294","SFTPB","178640.0001"
"295","FOXF1","601089.0001"
"296","BMPR2","600799.0001"
"297","CTSK","601105.0001"
"298","SFRP4","606570.0001"
"299","ALDH7A1","107323.0001"
"300","PC","608786.0001"
"301","PKRL","609712.0001"
"302","SLC35C1","605881.0001"
"303","PHYH","602026.0001"
"304","PEX7","601757.0007"
"305","PEX2","170993.0002"
"306","NOD2","605956.0001"
"307","NPHP1","607100.0005"
"308","IFT140","614620.0001"
"309","DIS3L2","614184.0001"
"310","NPHP3","608002.0004"
"311","ATP6B1","192132.0001"
"312","REN","179820.0002"
"313","AGT","106150.0003"
"314","ACE","106180.0003"
"315","AGTR1","106165.0003"
"316","AK2","103020.0001"
"317","COL18A1","120328.0001"
"318","TINF2","604319.0002"
"319","LPIN1","605518.0001"
"320","ESCO2","609353.0001"
"321","EIF4A3","608546.0001"
"322","ROR2","602337.0004"
"323","RECQL4","603780.0001"
"324","ESCO2","609353.0004"
"325","SETBP1","611060.0001"
"326","SLC25D1","610804.0001"
"327","PXDN","605158.0001"
"328","SOST","605740.0001"
"329","BSCL2","606158.0001"
"330","ZAP70","176947.0001"
"331","PIK3R1","171833.0002"
"332","SLC17A5","604322.0002"
"333","GNE","603824.0001"
"334","NODAL","601265.0001"
"335","ALDH3A2","270200.0001"
"336","CDSN","602593.0003"
"337","DHCR7","602858.0001"
"338","SPINT2","605124.0001"
"339","IGF1R","147370.0001"
"340","SACS","604490.0001"
"341","BSCL2","606158.0013"
"342","ZFYVE26","612012.0001"
"343","DSTYK","612666.0005"
"344","CYP7B1","603711.0001"
"345","SYCP3","604759.0001"
"346","SMN1","600354.0011"
"347","C10orf2","606075.0012"
"348","RPSA","150370.0001"
"349","B3GALT6","615291.0001"
"350","DDR2","191311.0001"
"351","COL2A1","120140.0030"
"352","ASPA","271900.0001"
"353","NUP62","605815.0001"
"354","ALDH5A1","610045.0001"
"355","SUMF1","607939.0001"
"356","SUOX","606887.0001"
"357","CRLF1","604237.0001"
"358","CKAP2L","616174.0001"
"359","FLNB","603381.0001"
"360","GM2A","613109.0001"
"361","HEXA","272800.0001"
"362","WNT3","165330.0001"
"363","CUL7","609577.0001"
"364","ITGA2B","607759.0002"
"365","ITGB3","173470.0001"
"366","FYB","602731.0001"
"367","RBM8A","605313.0001"
"368","ADAMTS13","604134.0001"
"369","DPYD","612779.0001"
"370","SLC5A5","601843.0001"
"371","TPO","606765.0001"
"372","SLC26A4","605646.0001"
"373","TG","188450.0001"
"374","IYD","612025.0001"
"375","DUOXA2","612772.0001"
"376","TSHB","188540.0001"
"377","TSHR","603372.0005"
"378","ZMPSTE24","606480.0003"
"379","LMNA","150330.0022"
"380","TCN2","613441.0001"
"381","ABHD5","604780.0001"
"382","SPG20","607111.0001"
"383","MLH1","120436.0003"
"384","MSH2","609309.0014"
"385","MSH6","600678.0012"
"386","PMS2","600259.0001"
"387","FAH","613871.0001"
"388","HPD","609695.0001"
"389","WNT7A","601570.0001"
"390","UROC1","613012.0001"
"391","MYO7A","276903.0001"
"392","USH2A","608400.0001"
"393","USH3A","606397.0001"
"394","USH1C","605242.0001"
"395","C5ORF42","614571.0007"
"396","CFTR","602421.0005"
"397","LMBRD1","612625.0001"
"398","MMACHC","609831.0001"
"399","C2ORF25","611935.0001"
"400","VDR","601769.0001"
"401","TSEN54","608755.0001"
"402","VWF","613160.0015"
"403","EDNRB","131244.0001"
"404","EZH2","601573.0001"
"405","ADAMTS10","608990.0001"
"406","COL11A2","120290.0004"
"407","RECQL2","604611.0001"
"408","ATP7B","277900.0001"
"409","LIPA","613497.0001"
"410","P2RY5","609239.0001"
"411","ATP6V0A2","611716.0003"
"412","XPC","613208.0001"
"413","ERCC2","126340.0001"
"414","ERCC4","133520.0001"
"415","ERCC5","133530.0001"
"416","SOX9","608160.0014"
"417","H19","103290.0002"
"418","WT1","607102.0001"
"419","WT1","607102.0003"
"420","KRT74","608248.0001"
"421","PIEZO1","611184.0001"
"422","MTP","157147.0001"
"423","TWIST2","607556.0004"
"424","VPS13A","605978.0001"
"425","LMBR1","605522.0001"
"426","TRIP11","604505.0001"
"427","COL2A1","120140.0002"
"428","GDF5","601146.0003"
"429","KIF7","611254.0001"
"430","RAB23","606144.0001"
"431","SLC39A4","607059.0001"
"432","GDF5","601146.0001"
"433","WNK1","605232.0003"
"434","ACADM","607008.0001"
"435","ACADS","606885.0001"
"436","ACAVLD","609575.0001"
"437","POR","124015.0001"
"438","HSD3B2","613890.0001"
"439","CYP11B1","610613.0001"
"440","MC2R","607397.0001"
"441","PRRX1","167420.0001"
"442","ELANE","130130.0006"
"443","TYR","606933.0001"
"444","OCA2","611409.0001"
"445","TYRP1","115501.0001"
"446","HPS1","203300"
"447","ADTB3A","603401.0001"
"448","HPS3","606118"
"449","HPS4","606682"
"450","HPS5","607521"
"451","HPS6","607522"
"452","DTNBP1","607145.0001"
"453","BLOC1S3","609762.0001"
"454","CYP11B2","124080.0002"
"455","GFAP","137780.0001"
"456","HGD","607474.0001"
"457","POLG","174763.0008"
"458","ACAT1","607809.0001"
"459","COL4A3","120070.0001"
"460","COL4A4","120131.0001"
"461","ALMS1","606844.0001"
"462","GUCY2D","600179.0001"
"463","CLN3","607042.0001"
"464","CLN6","606725.0011"
"465","CLN2","607998.0001"
"466","ENAM","606585.0003"
"467","FAM20A","611062.0001"
"468","KLK4","603767.0001"
"469","DHTKD1","614984.0001"
"470","TACSTD2","137290.0001"
"471","ALS2","606352.0001"
"472","ABCA1","600046.0001"
"473","SLC25A38","610819.0001"
"474","GLRX5","609588.0001"
"475","TMPRSS6","609862.0001"
"476","ITPR1","147265.0005"
"477","RSPO4","610573.0001"
"478","SOX2","184427.0001"
"479","SMOC1","608488.0001"
"480","FGFR2","176943.0002"
"481","APOC2","608083.0002"
"482","ARG1","207800.0001"
"483","ASL","608310.0001"
"484","ENPP1","173335.0002"
"485","SLC2A10","606145.0001"
"486","VPS33B","608552.0001"
"487","RAPSN","601592.0013"
"488","DOK7","610285.0009"
"489","MUSK","601296.0006"
"490","WISP3","603400.0001"
"491","AGA","208400.0001"
"492","GDF1","602880.0001"
"493","ATM","607585.0001"
"494","APTX","606350.0001"
"495","PHOX2B","603851.0001"
"496","RET","164761.0045"
"497","EDN3","131242.0003"
"498","GDNF","600837.0001"
"499","BDNF","113505.0001"
"500","ASCL1","100790.0001"
"501","TWIST2","607556.0005"
"502","BBS1","209901.0001"
"503","MHC2TA","600005.0001"
"504","RFXAP","601861.0001"
"505","RFX5","601863.0001"
"506","RFXANK","603200.0001"
"507","IFNGR1","107470.0001"
"508","OPA1","605290.0003"
"509","MCCC1","609010.0001"
"510","MCCC2","609014.0001"
"511","ABCG5","605459.0001"
"512","ABCG8","605460.0001"
"513","CYP4V2","608614.0001"
"514","ATR","601215.0001"
"515","RNU4ATAC","601428.0001"
"516","PCNT2","605925.0004"
"517","RECQL3","604610.0001"
"518","SCNN1B","600760.0009"
"519","SLC52A3","613350.0001"
"520","ATP8B1","602397.0001"
"521","CD96","606037.0001"
"522","NT5E","129190.0001"
"523","GALNT3","601756.0001"
"524","FGF23","605380.0003"
"525","KL","604824.0002"
"526","CARD9","607212.0001"
"527","PMM2","601785.0001"
"528","MGAT2","602616.0001"
"529","PLD1","602382.0001"
"530","LMNA","150330.0030"
"531","CACT","613698.0001"
"532","SLC22A5","603377.0001"
"533","AGK","610345.0001"
"534","LEMD2","616312.0001"
"535","SIX6","606326.0002"
"536","RAB3GAP2","609275.0001"
"537","LRP4","604270.0001"
"538","RNF216","609948.0001"
"539","PMPCA","613036.0001"
